nome_da_música,nome_do_artista,rank_de_todos_os_tempos,pontuação_da_faixa,reproduções_spotify,contagem_de_playlists_spotify,alcance_das_playlists_spotify,popularidade_no_spotify,contagem_playlists_apple_music,contagem_playlists_deezer,alcance_playlists_deezer
Sprinter,Dave,78,168.1,"692,512,930","199,828","55,464,762",78,155,41,"1,790,031"
CHIHIRO,Billie Eilish,79,167.8,"169,410,711","11,028","144,854,768",90,185,53,"20,737,850"
TQG,KAROL G,80,167.8,"1,024,381,758","78,554","69,319,589",78,138,84,"8,850,320"
Perfect,Ed Sheeran,81,167.5,"2,969,999,682","280,165","116,921,604",81,208,343,"1,242,581"
Pepas,Farruko,82,167.3,"1,500,499,584","359,502","125,112,486",74,258,137,"4,015,523"
Ella Baila Sola,Eslabon Armado,84,166.5,"1,215,336,974","129,463","39,814,172",74,83,24,"4,946,338"
Dance The Night - From Barbie The Album,Dua Lipa,85,166.2,"860,026,452","74,769","139,913,794",80,7,82,"4,067,956"
La Bebe - Remix,Yng Lvcas,86,164.9,"1,032,225,805","94,887","74,469,479",79,83,42,"3,360,878"
Easy On Me,Adele,88,163.2,"1,720,918,065","209,635","93,875,458",73,325,257,"5,323,750"
Titï¿½ï¿½ Me Pregu,Bad Bunny,89,163.1,"1,514,239,759","190,692","77,283,361",77,150,44,"5,591,928"
All My Life (feat. J. Cole),Lil Durk,90,162,"333,202,114","108,322","41,018,697",68,148,30,"1,277,729"
Anti-Hero,Taylor Swift,91,161.8,"1,563,224,246","117,005","97,456,780",80,261,74,"4,457,357"
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,92,161.7,"1,692,951,462","209,490","88,591,675",78,99,58,"5,211,955"
Magnetic,ILLIT,93,161,"255,076,355","11,500","90,584,540",86,67,9,"423,666"
Lollipop,Darell,94,158.2,"275,349,653","37,806","22,826,643",70,19,37,"3,780,737"
La Diabla,Xavi,95,155.9,"649,404,552","27,544","47,789,063",83,29,34,"16,509,806"
Boy's a Liar Pt. 2,PinkPantheress,96,153.6,"851,085,705","129,047","50,996,176",70,162,65,"8,655,684"
Snooze,SZA,97,153.3,"1,013,350,808","108,036","86,470,319",84,154,60,"2,707,900"
BELLAKEO,Peso Pluma,98,153.1,"359,803,580","26,065","79,152,427",86,40,63,"18,139,662"
Prada,cassï¿,100,152.5,"609,699,748","128,498","160,755,092",83,129,167,"15,480,679"
Lil Boo Thang,Paul Russell,102,152.1,"242,070,373","37,170","74,130,983",76,106,69,"1,792,014"
MONACO,Bad Bunny,103,150.7,"478,150,858","73,306","51,842,133",78,78,56,"15,784,760"
Laxed (Siren Beat),Jawsh 685,104,150.5,"61,382,407","7,240","1,708,319",43,15,5,"59,317"
Training Season,Dua Lipa,106,148.9,"251,153,869","16,811","92,985,554",76,162,127,"33,540,073"
Type Shit,Future,107,148.1,"205,206,688","28,064","84,737,651",84,99,41,"2,943,724"
Armageddon,aespa,108,147.4,"32,942,304","1,262","26,204,483",74,37,5,"530,831"
The Box,Roddy Ricch,109,146.6,"1,911,559,785","317,345","87,765,033",78,255,138,"555,650"
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,110,145.3,"2,014,959,725","354,831","87,942,438",70,360,109,"3,242,122"
Pedro,Jaxomy,111,144.6,"168,145,583","27,654","159,737,263",85,107,158,"16,345,999"
Fast Car,Luke Combs,112,144.5,"518,988,585","73,116","58,391,498",80,117,67,"8,306,302"
Bling-Bang-Bang-Born,Creepy Nuts,113,144,"247,399,972","22,222","13,870,528",80,53,18,"357,941"
Aesthetic,Tollan Kim,114,144,"5,712,985","2,311","535,908",44,4,4,"1,397"
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,116,143.9,"3,358,704,125","392,082","123,917,182",79,351,86,"809,352"
Saturn,SZA,117,142.8,"343,090,427","21,104","154,253,718",87,120,103,"10,995,523"
Believer,Imagine Dragons,119,142.2,"3,006,226,762","335,880","89,243,475",81,226,118,"1,138,425"
WAIT FOR U (feat. Drake & Tems),Future,120,141,"787,155,930","183,850","58,397,185",77,150,32,"399,388"
I KNOW ?,Travis Scott,121,139.5,"532,605,345","128,534","31,725,858",81,46,33,"1,423,258"
ANDO,Jere Klein,122,139,"292,789,738","28,591","30,905,957",72,11,15,"8,391,160"
First Class,Jack Harlow,123,138.6,"818,858,244","223,609","49,586,777",71,148,37,"759,989"
FE!N,Travis Scott,124,137.8,"659,010,786","129,923","93,969,186",86,87,46,"2,137,898"
I Ain't Worried,OneRepublic,127,136.2,"1,607,421,145","212,406","160,444,270",83,267,111,"4,754,372"
MI EX TENï¿½ï¿½A RA,KAROL G,128,136.2,"438,796,949","23,959","34,805,394",78,56,29,"3,457,921"
Mood (feat. iann dior),24kGoldn,130,133,"1,867,736,006","302,486","82,611,625",76,329,273,"3,821,598"
Dynamite,BTS,131,132.3,"1,872,577,908","144,619","51,186,002",74,323,355,"1,888,088"
Someone You Loved,Lewis Capaldi,133,129.7,"3,427,498,835","338,763","160,553,919",82,408,502,"4,834,088"
Acrï¿½ï¿½s,Shakira,134,129.6,"230,849,195","23,091","12,233,221",64,49,25,"319,914"
Made You Look,Meghan Trainor,135,129.5,"720,720,922","74,295","89,509,926",77,108,43,"1,491,347"
vampire,Olivia Rodrigo,138,128.9,"998,964,097","90,793","87,801,398",18,173,61,"5,239,925"
Casca de Bala,Thullio Milionï¿½ï¿,139,128.5,"37,157,630","2,052","30,387,641",74,11,32,"8,460,458"
People,Libianca,141,127.8,"631,955,547","121,823","45,030,006",74,145,74,"1,217,657"
I Don't Wanna Wait,David Guetta,144,126.9,"114,574,238","10,564","180,987,712",84,87,128,"35,099,280"
La Bachata,Manuel Turizo,146,126.2,"1,721,045,197","156,941","97,122,096",81,142,97,"8,709,032"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,148,125.2,"1,612,286,123","282,719","97,390,961",74,348,342,"2,587,713"
Don't Start Now,Dua Lipa,149,124.6,"2,607,121,959","270,230","143,953,432",78,581,632,"4,254,903"
Lucid Dreams,Juice WRLD,150,123.9,"2,548,389,305","339,306","75,858,140",78,153,54,"442,640"
PROVENZA,KAROL G,151,123.8,"1,185,929,926","103,026","64,847,502",76,115,75,"7,349,218"
WAP (feat. Megan Thee Stallion),Cardi B,152,123.4,"1,325,725,696","171,255","53,040,559",72,222,94,"249,116"
SPOT!,ZICO,153,122.8,"77,757,035","3,407","35,428,519",81,27,2,"151,901"
Family Matters,Drake,154,122.7,"72,335,127","8,696","36,774,031",86,38,16,"1,504,365"
Seven (feat. Latto) (Explicit Ver.),Jung Kook,156,122.4,"1,673,557,134","54,950","91,343,768",80,86,54,"5,286,388"
